GRF Observations - Ctrl,GRF Observations - Post
108.7889,115.9849
115.9857,109.3339
109.3346,111.3973
111.3979,105.2418
153.7364,102.8599
102.8609,99.44033
216.3829,97.14506
99.44331,93.00112
93.00329,95.3698
261.3836,116.226
116.2295,123.034
45.0818,117.4524
117.4559,124.8947
94.65928,97.18405
2946.274,96.83978
96.83878,121.6291
121.6202,159.1626
1675.807,160.0901
1166.591,110.6999
590.5106,109.1758
109.1737,116.9444
116.9443,108.1079
108.1083,85.3423
173.017,67.22927
85.34168,62.63318
114.4777,72.37408
72.37384,67.20428
67.20402,59.65466
59.65441,59.67911
59.679,55.44442
128.1904,59.71645
55.44436,55.21547
55.21546,62.82273
62.82273,61.8519
61.85188,74.65674
74.65674,73.1565
126.604,75.57205
164.7231,71.74799
75.5721,77.84781
77.84795,74.01226
199.4625,91.1981
91.19812,86.12209
86.1221,89.21117
89.2112,83.34911
83.34912,83.91544
127.8478,78.51299
20.43435,84.24378
84.24375,79.86611
79.86608,75.8387
75.83864,73.67545
73.67542,72.91547
72.91543,72.13512
72.13506,73.18726
73.18722,73.71652
73.71645,74.57096
74.57092,75.23053
75.23046,74.74801
74.74799,75.38112
75.38109,73.35269
73.35269,73.99172
73.99172,70.81221
70.81221,71.49083
71.49084,68.66264
68.6626,69.61318
69.61314,68.26917
68.26902,69.64336
160.3612,68.85571
69.64297,70.55956
70.55931,72.8439
72.84364,74.27801
74.27779,78.23097
155.1125,78.21722
78.23044,81.55935
81.55906,80.09216
152.0962,81.64666
80.09179,79.23612
150.9151,79.62016
79.23575,76.66222
151.3599,77.5463
77.54618,75.05804
76.66177,76.71842
146.5783,74.83165
74.83158,77.68992
77.6898,76.32198
76.32181,79.43639
79.43624,77.71283
77.71262,80.26688
80.26675,78.14181
138.7952,112.4755
112.4755,109.7776
109.7774,112.8095
112.81,110.6968
110.6968,112.905
112.9057,111.4481
111.4482,113.4647
113.4652,112.1661
112.1661,112.545
78.14112,81.50177
81.4977,98.90606
98.89573,204.4378
179.8768,289.6518
289.6367,181.3144
181.2789,154.1673
154.1429,175.4016
175.3883,157.3943
157.3867,121.8097
121.8002,105.4857
105.4864,101.8883
1918.089,61.18852
2625.455,48.19069
48.19207,59.44044
59.44115,64.81591
64.81633,68.77286
223.8543,73.44614
73.44616,67.11966
189.3113,75.03223
75.03223,73.25092
171.3573,85.91143
85.91132,82.98474
82.9845,85.62077
85.62061,83.3158
83.31564,86.07992
86.07983,84.40067
84.40061,87.18993
87.18992,86.39347
86.39346,88.58204
88.58206,87.87145
87.87145,89.19913
89.19915,88.49426
88.49426,88.98415
88.98418,87.95935
87.95935,87.53643
87.53645,86.00188
86.00188,84.68452
84.68454,82.9573
82.95731,81.09206
81.09208,79.51749
79.51749,77.24251
77.24252,74.91031
74.91031,72.30278
72.30278,69.96528
369.3337,66.4721
66.47208,60.65101
173.3556,58.50357
58.50357,65.15685
65.1568,67.89424
67.89442,74.47246
74.47252,72.62842
72.62874,79.57737
79.57748,76.97841
76.97868,83.07487
83.07496,79.13842
79.13864,82.28387
82.28397,77.81358
3352.095,77.69806
77.69831,75.44627
9.19123,77.45597
77.45633,74.2185
74.21941,76.15247
76.15282,73.23642
73.2372,76.40665
76.40694,73.91373
73.91434,75.66174
75.66201,73.22241
73.22299,73.69098
73.69135,71.74193
71.74261,72.16328
72.16383,70.4979
70.49882,71.24034
71.24117,69.96887
184.3932,101.1129
101.1149,100.6979
100.7006,105.4327
31.52076,129.367
101.509,86.40549
184.7099,118.2238
118.0431,219.4266
62.61149,142.1902
142.1885,107.3426
167.3986,118.8062
107.336,125.7304
125.7301,99.90698
99.90702,73.16174
73.16172,68.17838
2.487409,68.69971
120.9365,60.56226
60.56231,51.75076
51.7508,46.98836
46.98831,47.46403
47.46403,46.03517
157.2691,52.65182
46.03518,50.93509
50.93511,60.21923
60.21925,59.74669
59.74669,69.49245
69.49247,67.56818
67.56821,75.6077
75.60773,71.79946
71.7995,77.15632
77.15636,72.79216
178.5354,75.48655
5.237189,78.60341
78.60345,79.6934
79.69346,76.2044
76.20442,73.93297
69.71736,80.42394
80.42397,77.06462
77.06467,75.03383
75.03384,73.04484
73.04487,72.83685
72.83685,71.97486
71.97488,72.90933
72.90932,72.49293
72.49293,74.04877
74.04877,73.44773
73.44774,75.25842
75.25842,73.90366
73.90366,75.7075
75.7075,73.37364
165.8892,74.18204
73.37362,71.93399
71.93395,73.80698
73.80695,73.48563
73.48557,75.87732
75.87727,75.34175
158.9704,76.09718
75.34158,76.51116
76.51105,77.66615
77.66609,78.72802
78.72794,79.08475
153.2678,78.10291
79.08459,77.32533
151.3344,76.31595
77.32516,75.27225
75.2722,75.77345
150.5367,74.27453
75.77339,75.49753
75.49751,73.57925
147.2672,75.47202
75.47198,74.01636
74.01632,76.20466
76.20461,74.71731
74.71725,78.25331
78.25327,77.11332
77.11322,80.67068
80.67068,78.8877
78.8876,81.53613
147.4528,111.3303
111.3302,114.1051
114.1057,111.729
111.729,114.2754
114.2764,112.9467
112.9468,115.1689
115.1698,114.2401
81.49986,83.91601
83.91232,97.11562
97.11544,156.7299
156.73,197.9034
65.34988,166.4917
249.3045,160.1803
160.1524,160.1015
160.0874,162.3978
162.3864,137.8525
137.8444,117.421
117.4128,105.4355
2602.649,56.65405
56.6539,68.16038
68.16003,68.6238
68.62507,70.0322
70.03279,66.94268
66.94292,56.18907
56.18918,54.25538
54.25535,52.72427
52.72431,55.17514
55.17514,53.33313
206.5366,61.21788
182.0589,69.30724
161.424,82.9215
82.92146,83.80755
83.80751,86.68869
86.68865,86.32386
86.32383,88.69492
88.69492,87.92304
87.92303,89.71938
89.7194,88.83508
88.83508,89.99054
89.99056,88.99101
88.99101,89.28942
89.28944,88.00886
88.00885,87.45528
87.45528,85.92052
85.92051,84.52998
84.52999,83.08183
83.08183,81.08953
81.08955,79.36613
79.36614,76.8504
76.85042,74.5322
74.5322,71.8091
367.5696,65.44855
65.44859,60.31973
173.9672,55.67077
55.67074,59.99666
59.99681,68.80492
68.80498,69.55567
69.55604,81.11233
81.1125,77.72316
77.72337,87.27303
87.27309,82.22482
82.22485,86.57188
86.57189,80.93623
80.93623,81.43221
81.43222,76.6591
76.65922,76.41851
76.41859,72.8804
72.88078,73.59
73.59019,71.2847
71.28537,73.20696
73.20722,71.48756
71.4884,74.19852
74.19876,72.42704
72.42795,74.94939
74.94962,72.90491
72.90585,74.94103
74.94125,73.18148
73.18252,75.87492
75.87533,73.74081
73.74211,75.98981
32.87168,86.28906
86.29128,87.73814
202.9246,102.447
102.4506,101.948
101.9508,99.45885
99.87415,94.77329
89.22457,88.75087
76.11019,124.7645
1201.656,150.651
150.6497,119.1705
68.18079,106.7048
106.7021,110.7415
110.7405,97.26402
97.26404,84.91694
178.5173,80.0611
82.61246,79.79153
79.79176,72.6228
72.62298,65.80854
65.8087,62.40514
156.711,62.16513
62.40545,58.70167
58.70181,61.18235
61.18243,59.30099
59.30106,64.27798
64.278,61.86104
61.86108,67.93569
67.93565,64.87719
64.8772,70.28339
199.945,75.11372
75.11372,79.56947
79.56942,75.41879
75.41881,77.79905
77.79904,73.78778
73.78781,74.46198
74.46202,71.13924
1.778966,79.20034
72.1331,76.04953
76.04956,74.19134
74.19138,74.33559
74.3356,74.83738
74.83741,74.93141
74.93141,75.6178
75.61781,76.56683
76.56683,76.52781
76.52782,77.68171
77.68171,75.79687
75.79686,76.84048
76.84048,73.48045
73.48042,74.58273
74.5827,71.16609
163.599,71.78347
71.16588,70.28747
70.28725,71.96419
71.96408,72.91903
72.91884,74.85669
74.85655,76.23696
76.23672,77.27402
156.134,77.66045
77.27362,78.55083
78.55064,79.99828
79.99812,79.42431
152.1319,80.15551
79.42406,78.78204
78.78193,79.23888
151.2904,77.35463
79.23868,78.55756
78.55746,75.75742
147.8191,77.10655
75.75735,74.84101
146.9263,76.57643
76.57635,74.66023
74.84084,77.75001
143.2511,76.31303
76.31293,80.07436
80.07438,78.18993
78.18983,80.76339
80.76354,78.60355
149.1313,113.4939
113.4944,110.8045
110.8045,114.0706
114.0715,112.1976
112.1978,114.8707
114.8718,113.7462
113.7464,115.9069
115.9074,114.7937
78.60236,82.74881
82.7457,93.70162
93.70081,149.4984
149.4996,205.4136
182.6141,215.0185
214.9952,156.7463
156.7161,154.5686
154.5533,159.0867
159.076,134.8626
134.8548,111.5804
111.5727,99.20853
99.20828,96.8987
2596.025,45.88371
45.88573,47.5068
47.50802,59.30902
59.3097,64.4647
64.46493,69.80299
220.5777,74.54799
74.54798,70.24463
187.4131,79.74154
166.1862,88.41346
88.41335,90.34688
90.34676,85.94109
85.94089,88.56496
88.56486,85.60413
85.60406,88.1712
88.17117,86.11676
86.11676,88.52156
88.52155,87.3185
87.31851,88.9902
88.9902,87.83706
87.83705,88.64201
88.64201,87.43834
87.43834,87.43315
87.43317,85.78439
85.78439,84.80963
84.80965,82.881
82.88101,81.30283
81.30287,79.45068
79.4507,77.41843
77.41848,74.74192
74.74194,72.33959
72.33961,69.65968
69.65967,67.43354
365.7153,62.07546
62.07546,58.50888
175.2328,55.60581
55.60576,59.96045
59.96061,69.55881
69.55888,70.22415
70.2245,82.92515
82.9253,79.41222
79.41244,89.26392
89.26397,83.36918
83.36922,87.43543
87.43544,80.53602
80.53599,81.43497
3391.242,76.54172
76.54173,77.28089
10.35977,74.41003
74.41025,75.61542
75.61565,74.49231
74.49287,75.99791
75.99833,74.82341
74.8242,76.6335
76.63396,74.84738
74.84822,76.13525
76.13566,73.82529
73.82607,74.07416
74.07452,71.65823
71.65895,71.10578
71.10614,69.26552
69.26627,68.93395
68.93447,67.65981
67.6608,67.53122
67.53208,66.5599
49.06722,78.52206
2195.696,92.94368
92.94688,92.81442
66.67583,68.41026
68.4082,114.5475
110.6215,227.5879
1223.999,148.6713
148.672,101.9946
101.9917,118.9721
84.938,127.0695
127.0693,108.8616
44.01748,76.36392
76.36395,68.70538
5.423256,73.60575
73.606,65.15057
153.551,57.41058
249.2994,61.22064
61.22077,57.32577
57.32585,58.93631
58.93636,55.7262
55.72623,61.57554
61.57559,59.64831
57.41143,61.07198
2144.616,60.6857
60.68573,71.14653
71.14664,71.64864
893.3387,73.84052
185.5813,70.82507
73.84071,77.18598
77.18628,72.9426
74.22618,81.77554
81.77553,77.05865
77.05863,73.66214
73.66207,69.23277
69.23275,63.00707
208.3089,67.3256
67.3256,60.68996
60.68985,58.56538
58.56539,54.50667
54.50664,54.24918
77.48698,61.04642
61.04644,62.80748
179.6387,64.4096
62.80748,68.06966
68.06967,72.13919
72.13919,76.5752
76.5752,81.03609
81.03609,83.55306
83.55306,84.61633
84.61632,86.14758
86.14758,82.7691
82.7691,83.39594
83.39594,76.27166
76.27167,76.78146
76.78144,69.76878
163.2763,70.45328
69.76883,66.94356
66.94356,68.98576
68.9857,69.44341
69.44342,72.46752
72.46748,74.66339
156.6857,76.43055
74.66339,79.76974
79.76972,80.71007
80.71006,83.12566
152.03,82.43867
83.12566,83.41073
83.41073,81.12666
150.2705,80.55499
80.55499,78.30254
81.12664,77.58243
77.58243,75.04826
147.3726,75.94291
75.94291,74.31983
74.31982,75.7165
75.7165,73.99451
75.04826,77.58424
142.3353,76.26632
76.26638,80.24416
80.24442,78.54397
78.5441,81.09727
57.79501,92.29614
234.624,113.7407
113.7412,111.2813
111.2813,114.145
114.1455,112.551
112.5509,115.0627
115.0631,114.2856
114.2855,116.1762
81.07304,84.11487
84.11337,98.51792
98.51382,180.358
180.358,205.381
205.3744,143.672
182.9104,157.695
157.6673,165.6497
165.6343,158.0327
158.0224,129.3148
129.3033,106.567
106.5595,99.15282
99.14809,91.73626
91.73601,89.5591
2504.419,43.18568
43.18707,50.51759
50.51826,61.93925
61.93932,65.81467
65.81458,68.6871
68.68707,64.1337
222.0955,69.58494
188.7435,80.54955
80.54955,78.81741
155.4028,91.74214
91.74209,87.39068
87.39056,89.53071
1420.221,85.47628
85.47626,87.36739
87.36738,83.30816
83.30824,86.3324
1040.045,84.21864
84.2187,86.54552
86.54555,85.62628
85.62634,86.71243
86.71245,87.78399
87.784,88.20309
88.20309,88.82526
88.82526,87.3627
87.36271,86.61172
86.61173,84.40104
84.40108,82.61379
82.61383,79.92783
79.92789,76.59433
352.2581,72.55677
72.55707,63.36723
176.0201,60.53489
60.53492,64.0721
63.36746,65.56245
176.7992,63.78307
63.78295,65.19736
65.19755,72.71873
72.71888,72.30023
72.30057,82.23776
82.23795,78.7485
78.74868,86.51331
86.51337,81.60219
81.60223,85.5051
85.50514,80.534
80.53406,81.78568
81.78577,77.4727
77.4729,78.41375
78.41401,75.14677
75.14722,76.81789
76.81829,74.41994
74.4206,76.59734
76.59783,74.51211
74.51289,76.69168
76.69217,74.32582
74.32661,76.01022
76.01072,73.59676
73.59757,74.80517
74.8057,72.924
72.92494,74.6543
74.65511,72.63892
72.64008,74.76718
74.76858,72.94663
22.05478,87.86089
210.0825,85.71968
85.7225,86.00822
190.9741,84.7364
84.43369,88.98077
88.97733,131.5236
1230.266,134.1016
0,115.727
150.8314,109.7677
109.764,116.4422
116.4418,115.779
175.0749,92.82841
115.779,68.23797
68.23808,63.80271
127.6613,65.7804
65.78046,60.9905
60.99052,54.41566
54.4157,50.18031
155.0674,51.88702
50.1804,50.57123
50.57127,57.08814
57.08816,56.9549
56.95492,64.68143
64.68144,62.76321
62.76323,71.19994
71.19993,68.15588
68.15588,74.83805
74.83801,70.65186
70.65186,74.52641
205.6628,78.88966
78.88968,80.27296
80.27292,75.57437
75.5744,74.80598
76.00363,81.22694
81.22698,79.33376
79.33378,76.62717
76.6272,74.90555
180.17,73.38415
74.90562,71.68286
71.68291,72.06098
72.06097,72.63622
72.63623,74.39018
74.39018,74.3755
74.3755,75.99817
75.99817,75.32343
75.32342,77.18414
77.18414,74.92039
74.92037,76.43458
76.43457,73.2641
73.26406,74.77032
161.9688,70.16822
74.77023,72.33941
72.33933,71.62252
71.62244,74.63288
74.6328,76.7411
76.74098,78.32364
155.1716,78.55135
78.32343,79.51192
79.51183,81.0803
81.08023,80.97385
151.2537,81.39569
80.97373,79.9723
79.97225,79.94502
150.2823,77.98148
79.94496,78.62219
78.62216,76.00743
147.3375,76.77396
76.77395,74.83498
76.00739,76.01473
145.7362,74.23399
74.23396,77.12469
77.12468,75.59757
75.59753,79.2312
79.23125,77.58069
77.58067,80.6512
80.65143,78.68284
150.6528,113.9978
113.9985,111.2139
111.2141,114.6459
114.647,112.6915
112.6918,115.3869
115.3881,114.2743
114.2745,116.3931
78.67103,82.71037
82.71014,89.91983
89.91403,117.9151
117.9169,198.1785
198.1771,180.3663
67.48647,137.2157
253.6903,156.5284
156.5054,164.4069
164.3953,147.1368
147.1259,118.1872
118.1783,102.6934
102.6875,94.79924
2464.249,45.82904
45.82902,48.63215
48.63337,59.19119
59.19173,68.15845
68.1584,68.98307
68.98304,66.59357
224.4972,67.31503
67.31496,64.03931
188.4209,75.42272
75.42272,72.76301
152.0736,85.91719
85.91715,83.39929
83.39924,86.57822
86.57819,84.84538
84.84539,87.76129
87.76129,86.97457
86.97462,89.54834
89.54836,89.06026
89.06031,90.57574
90.57574,89.80531
89.80534,90.43395
90.43395,89.25334
89.25335,88.96079
88.96078,87.04665
87.04665,85.81407
85.81408,83.5638
83.5638,81.79017
81.79019,79.65127
79.65128,77.4699
77.46993,74.61375
74.61375,72.11171
72.11173,69.3796
69.3796,67.08086
347.7611,61.94124
176.4785,59.21135
59.21135,61.48401
61.48402,63.0517
63.05177,71.4378
71.43786,70.86759
70.8677,80.38847
80.38854,77.5243
77.52435,84.04164
84.04169,79.47218
79.47219,82.65903
82.65906,77.31252
77.31253,79.30545
3358.906,75.24449
10.51755,76.21473
76.21494,74.44207
74.44242,75.82954
75.82998,74.86823
74.86887,77.47678
77.47733,76.07107
76.07185,78.10841
78.10896,75.85942
75.86021,76.54697
76.5475,73.98739
73.98816,73.54236
73.54293,71.15939
71.16016,70.16766
70.16837,68.50708
68.50799,68.27188
68.27308,67.13879
67.14017,66.96733
45.4923,77.14752
234.3082,92.38001
92.38357,91.34142
77.15731,74.92794
2923.075,96.29722
96.27828,213.2568
1349.062,157.3338
63.82172,116.3218
131.7568,110.9507
110.951,128.2798
116.3259,110.7988
110.799,85.22773
85.22791,82.94347
83.2472,87.08285
187.2792,81.26901
1277.649,87.66261
87.6627,80.25835
80.25847,78.368
41.60926,82.259
82.25934,84.1644
165.6407,80.33932
84.16493,84.79707
84.79741,79.0447
2476.336,83.45739
83.45781,79.10592
79.10632,81.88457
149.5623,79.088
81.88495,82.50356
82.5038,78.10429
78.10444,79.77596
79.77613,76.39516
76.39523,77.75856
155.273,75.67353
77.75863,77.07101
77.07105,75.50627
75.50628,75.61733
75.61735,74.26614
164.632,72.50896
74.26614,71.93076
71.93076,71.28707
169.8574,71.68254
71.28706,71.13827
71.13825,72.05814
177.3243,69.69421
69.69421,69.70806
69.70799,65.18366
0,65.60822
138.0529,63.95465
63.95465,66.20192
166.2357,65.16092
65.16089,66.71797
66.71786,64.54888
64.54876,65.99094
65.99074,67.12129
67.12103,69.27566
69.27545,72.81255
72.81225,74.65369
74.65354,78.77896
78.7787,79.41174
79.41163,82.44753
82.44732,81.42902
81.42892,82.74886
82.74869,80.64203
80.64194,80.81425
80.81409,78.38196
78.38187,78.5862
78.58602,76.82477
76.82469,78.29573
78.29555,77.35199
77.35198,79.8952
79.89506,78.98376
30.26707,82.96312
112.5571,95.27478
227.4597,118.8401
118.8397,117.1383
117.1385,118.3706
118.3701,117.1308
117.1307,117.0247
117.0244,115.6749
115.6748,113.3037
113.3038,110.2485
263.4849,129.6792
110.2485,98.1049
95.18572,73.03482
277.1652,96.65288
96.65067,158.4456
43.87596,128.1738
0,57.858
57.85817,58.18731
58.18766,82.01889
242.5349,94.2688
251.9055,119.4308
119.43,105.8314
22.64903,106.1917
106.1912,105.703
105.705,103.5593
103.5633,100.909
21.64623,98.74785
98.74992,96.12011
96.12083,95.07903
2253.079,91.99837
91.99727,93.31039
93.30917,90.35096
90.349,91.37215
91.37126,88.30397
88.30272,87.80177
87.8013,84.48923
84.48794,82.37061
1271.487,79.69675
79.69539,76.22758
76.22665,74.34949
74.34864,69.87833
69.87798,69.0649
69.0648,64.10533
64.10546,64.42028
64.42036,59.37092
59.37061,60.71807
60.71751,56.00028
55.99887,58.0078
58.00642,53.92864
53.92677,56.26302
56.26169,51.59659
1941.587,44.04348
44.04207,66.73255
1697.23,77.89856
78.1678,125.5786
2460.702,163.2213
181.757,142.8438
93.00407,138.7081
137.8931,97.36551
52.6598,131.528
1213.758,165.9095
109.6584,169.4194
169.4189,146.3533
146.3531,131.3811
131.3805,113.7881
113.7881,110.0563
110.0561,100.7402
100.7402,96.87191
96.87205,95.61854
2121.15,94.11329
94.11369,99.87162
150.3386,123.5185
123.5193,134.0783
134.0796,133.0216
133.0228,142.1887
142.1908,140.115
140.1167,146.3409
146.3439,143.5081
143.5104,148.0376
148.0418,144.4718
144.4753,148.815
148.8211,145.1092
145.1146,148.7334
148.7403,144.4216
144.4276,145.8567
145.8625,140.5228
139.6368,185.6686
185.6742,178.6774
178.6823,176.9735
176.9764,172.4472
172.4494,172.2848
172.2837,170.1975
170.1964,171.5014
0,170.7435
170.7391,173.6255
173.6178,173.3193
173.3152,177.0134
2898.076,176.7033
176.701,180.8659
180.8631,180.3831
180.3819,184.7852
184.784,184.1419
184.1415,188.2348
139.443,280.8607
280.8607,285.5425
0,283.5256
283.5256,285.1664
285.1664,281.9808
281.9808,277.9946
277.9946,272.7283
272.7283,260.3992
260.3992,252.8478
252.8478,229.7212
229.7212,218.4059
218.4059,182.6418
182.6418,167.0516
0,78.53712
78.53712,69.6475
69.6475,38.65596
38.65596,37.29065
37.29065,26.257
0,7.080531
0.6808165,126.6429
190.2339,301.7796
165.4772,287.6004
3093.894,228.528
228.5159,134.4673
134.4417,129.9685
129.9548,117.531
117.5036,110.2677
29.76852,69.29582
69.24898,64.11502
